Species,Depositfeeder,Shredder,Scraper,Filterfeeder,Predator,FlagsBoulderCobblesPebbles,Gravel,Sand,Silt,Macrophyte,Microphytes,TwigsRoots,OrganicdetritusLitter,Mud,250_500,500_1000,1000_2000,2000_4000,4000_8000,Null,Slow,Medium,Fast
Caenis_luctuosa,0.75,0.25,0,0,0,0.0833333333333333,0.0833333333333333,0.125,0.125,0.166666666666667,0,0.0833333333333333,0.125,0.208333333333333,0.4,0.6,0,0,0,3,3,1,0
Chaetopteryx_sp,0,1,0,0,0,0.333333333333333,0.222222222222222,0.222222222222222,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0.6,0.4,0,3,3,1,0
Chironimini,0.3,0.2,0.1,0.2,0.1,0.166666666666667,0.0833333333333333,0.125,0.0833333333333333,0.208333333333333,0,0.125,0.0416666666666667,0.166666666666667,0,0.166666666666667,0.5,0.333333333333333,0,3,1,0,0
Eiseniella_tetraedra,0.75,0,0,0,0,0.166666666666667,0.166666666666667,0.0555555555555556,0.0555555555555556,0.222222222222222,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0,1,1,3,2,2
Elmis_aenea,0,0.25,0.75,0,0,0.3,0.3,0.1,0,0.3,0,0,0,0,1,0,0,0,0,0,3,3,3
Elodes_sp,0,0.25,0.75,0,0,0.222222222222222,0.333333333333333,0,0,0.222222222222222,0.111111111111111,0,0.111111111111111,0,1,0,0,0,0,1,1,2,1
Empididae,0,0,0,0,1,0.307692307692308,0.230769230769231,0.0769230769230769,0,0.230769230769231,0,0.0769230769230769,0.0769230769230769,0,0,1,0,0,0,0,1,1,2
Ephemera_danica,0.125,0.375,0,0.375,0.125,0,0.25,0.3125,0.0625,0.0625,0,0.0625,0.0625,0.1875,0,0,0,1,0,1,3,2,0
Ephemerella_ignita,0.166666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667,0.157894736842105,0.105263157894737,0.0526315789473684,0.0526315789473684,0.263157894736842,0,0.210526315789474,0.105263157894737,0.0526315789473684,0,1,0,0,0,1,3,2,0
Ephemerella_sp,0.166666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667,0.157894736842105,0.105263157894737,0.0526315789473684,0.0526315789473684,0.263157894736842,0,0.210526315789474,0.105263157894737,0.0526315789473684,0,1,0,0,0,1,3,2,0
Erpobdella_octoculata,0,0,0,0,1,0.235294117647059,0.117647058823529,0.117647058823529,0.0588235294117647,0.176470588235294,0,0.0588235294117647,0.117647058823529,0.117647058823529,0,0,0,1,0,1,1,3,2
Gammarus_pulex,0,0.75,0.25,0,0,0.208333333333333,0.125,0.0833333333333333,0.0416666666666667,0.125,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,0,0.5,0.5,0,1,2,3,1
Glossiphonia_complanata,0,0,0,0,0,0.363636363636364,0.272727272727273,0,0,0.272727272727273,0,0,0.0909090909090909,0,0,0,0.5,0.5,0,2,2,2,1
Goera_pilosa,0,0.25,0.75,0,0,0.4,0.2,0.2,0,0.2,0,0,0,0,0,0,1,0,0,1,2,3,1
Halesus_radiatus,0,1,0,0,0,0.285714285714286,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.285714285714286,0.0714285714285714,0,0,0,1,0,1,3,2,2
Halesus_sp,0,1,0,0,0,0.285714285714286,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.285714285714286,0.0714285714285714,0,0,0,1,0,1,3,2,2
Helobdella_stagnalis,0,0,0,0,0,0.2,0,0,0,0.5,0,0,0.3,0,0,0.75,0.25,0,0,2,3,1,0
Heptagenia_sulphurea,0.166666666666667,0.333333333333333,0.5,0,0,0.454545454545455,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0,1,0,0,0,2,3,2
Hydraena_gracilis,0,0.25,0.75,0,0,0.375,0.125,0.125,0,0.25,0.125,0,0,0,1,0,0,0,0,1,2,3,2
Hydropsyche_angustipennis,0,0,0,0.75,0.25,0.333333333333333,0.133333333333333,0.0666666666666667,0,0.2,0,0.266666666666667,0,0,0,0.2,0.6,0.2,0,0,1,3,1
Hydropsyche_siltalai,0,0,0,0.75,0.25,0.333333333333333,0.133333333333333,0.0666666666666667,0,0.2,0,0.266666666666667,0,0,0,0.2,0.6,0.2,0,0,1,3,1
Isoperla_grammatica,0,0.6,0.2,0,0.2,0.230769230769231,0.153846153846154,0.153846153846154,0,0.230769230769231,0,0.0769230769230769,0.153846153846154,0,0,0.25,0.75,0,0,0,1,3,2
Lepidostoma_hirtum,0,0.75,0.25,0,0,0.222222222222222,0.111111111111111,0.111111111111111,0,0.333333333333333,0,0.222222222222222,0,0,0,0.75,0.25,0,0,1,3,1,1
Leuctra_sp,0.2,0.6,0.2,0,0,0.19047619047619,0.142857142857143,0.0952380952380952,0.0952380952380952,0.19047619047619,0,0.19047619047619,0.0952380952380952,0,0,0.75,0.25,0,0,1,2,2,2
Limnephilidae,0,1,0,0,0,0.0714285714285714,0.0714285714285714,0.142857142857143,0,0.142857142857143,0.0714285714285714,0.214285714285714,0.214285714285714,0.0714285714285714,0,0,0.6,0.4,0,3,3,1,0
Limnephilus_lunatus,0,1,0,0,0,0.0714285714285714,0.0714285714285714,0.142857142857143,0,0.142857142857143,0.0714285714285714,0.214285714285714,0.214285714285714,0.0714285714285714,0,0,0.6,0.4,0,3,3,1,0
Limnephilus_sp,0,1,0,0,0,0.0714285714285714,0.0714285714285714,0.142857142857143,0,0.142857142857143,0.0714285714285714,0.214285714285714,0.214285714285714,0.0714285714285714,0,0,0.6,0.4,0,3,3,1,0
Limnius_volckmari,0,0.25,0.75,0,0,0.166666666666667,0.25,0.25,0.0833333333333333,0.25,0,0,0,0,1,0,0,0,0,0,3,3,2
Lype_phaeopa,0,0,0.75,0.25,0,0.571428571428571,0,0,0,0,0,0.428571428571429,0,0,0,0.75,0.25,0,0,1,3,1,0
Pisidium_sp,0,0,0,1,0,0.0476190476190476,0.0476190476190476,0.19047619047619,0.19047619047619,0.142857142857143,0,0.0476190476190476,0.142857142857143,0.19047619047619,0.5,0.333333333333333,0.166666666666667,0,0,2,2,1,0
Plectrocnemia_sp,0,0,0,0.25,0.75,0.333333333333333,0.0833333333333333,0.0833333333333333,0,0.25,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0.6,0.4,0,2,3,0,0
Polycentropus_flavomaculatus,0,0.2,0,0.2,0.6,0.333333333333333,0.0833333333333333,0.0833333333333333,0,0.25,0,0.166666666666667,0,0.0833333333333333,0,0.25,0.75,0,0,2,3,2,0
Polycelis_sp,0,0,0,0,1,0.272727272727273,0,0,0,0.272727272727273,0,0.272727272727273,0.181818181818182,0,0,0.25,0.75,0,0,2,3,2,0
Potamophylax_cingulatus,0,1,0,0,0,0.0714285714285714,0.0714285714285714,0.142857142857143,0,0.142857142857143,0.0714285714285714,0.214285714285714,0.214285714285714,0.0714285714285714,0,0,0.6,0.4,0,3,3,1,0
Procloeon_bifidum,0.25,0,0.75,0,0,0.25,0.125,0.0625,0,0.3125,0,0.1875,0.0625,0,0,0.75,0.25,0,0,1,3,0,0
Radix_balthica,0,0.25,0.75,0,0,0.2,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.333333333333333,0.0666666666666667,0,0,0.2,0,0,0.25,0.75,0,3,3,0,0
Rhyacophila_fasciata,0,0,0,0,1,0.454545454545455,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0,0,0.166666666666667,0.5,0.333333333333333,0,0,1,3,2
Rhyacophila_nubila,0,0,0,0,1,0.454545454545455,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0,0,0.166666666666667,0.5,0.333333333333333,0,0,1,3,2
Sericostoma_personatum,0,0.75,0.25,0,0,0.15,0.1,0.1,0.1,0.1,0,0.2,0.25,0,0,0,1,0,0,0,3,2,1
Sigara,0,0.428571428571429,0.285714285714286,0,0,0,0.1,0.2,0.1,0.3,0,0,0.3,0,0.25,0.75,0,0,0,3,2,0,0
Sialis_lutaria,0,0,0,0,1,0.0666666666666667,0.2,0.2,0.2,0.0666666666666667,0,0,0.133333333333333,0.133333333333333,0,0,0.6,0.4,0,3,3,2,0
Simuliidae,0,0,0.25,0.75,0,0.307692307692308,0.0769230769230769,0,0,0.384615384615385,0,0.153846153846154,0.0769230769230769,0,0.4,0.6,0,0,0,0,1,2,2
Silo_pallipes,0,0.25,0.75,0,0,0.454545454545455,0.181818181818182,0.0909090909090909,0,0.181818181818182,0,0,0.0909090909090909,0,0,0.75,0.25,0,0,0,1,3,2
Sphaerium,0,0,0,1,0,0.133333333333333,0,0.266666666666667,0.133333333333333,0.133333333333333,0.0666666666666667,0,0,0.266666666666667,0,0,0.75,0.25,0,3,2,1,0
Tabanidae_sp,0,0.25,0,0,0,0,0.0666666666666667,0.2,0,0.2,0,0,0.266666666666667,0.266666666666667,0,0,0,0.75,0.25,2,2,1,0
